name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
sort	|	|2580000	|1267	|	|	|	|
sort	|	|2590000	|1285	|	|	|	|
sort	|	|2600000	|1363	|	|	|	|
sort	|	|2610000	|1541	|	|	|	|
sort	|	|2620000	|1696	|	|	|	|
sort	|	|2630000	|1837	|	|	|	|
sort	|	|2640000	|1734	|	|	|	|
sort	|	|2650000	|1462	|	|	|	|
sort	|	|2660000	|1340	|	|	|	|
sort	|	|2670000	|1319	|	|	|	|
sort	|	|2680000	|1320	|	|	|	|
sort	|	|2690000	|1336	|	|	|	|
sort	|	|2700000	|1326	|	|	|	|
sort	|	|2710000	|1348	|	|	|	|
sort	|	|2720000	|1353	|	|	|	|
sort	|	|2730000	|1351	|	|	|	|
sort	|	|2740000	|1354	|	|	|	|
sort	|	|2750000	|1366	|	|	|	|
sort	|	|2760000	|1361	|	|	|	|
sort	|	|2770000	|1372	|	|	|	|
sort	|	|2780000	|1387	|	|	|	|
sort	|	|2790000	|1379	|	|	|	|
sort	|	|2800000	|1382	|	|	|	|
sort	|	|2810000	|1390	|	|	|	|
sort	|	|2820000	|1466	|	|	|	|
sort	|	|2830000	|1656	|	|	|	|
